"filename", "language", "JSON with Comments", "PowerShell", "Markdown", "TypeScript", "MS SQL", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\.commandcode\taste\taste.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Downloads\Main_Dashboard\AGENTS.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\HP\Downloads\Main_Dashboard\BRAND_ACCESS_SETUP.md", "Markdown", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 34, 150
"c:\Users\HP\Downloads\Main_Dashboard\CLAUDE.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\HP\Downloads\Main_Dashboard\PROJECT_CONTEXT.md", "Markdown", 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 82, 343
"c:\Users\HP\Downloads\Main_Dashboard\PROJECT_DEEP_ANALYSIS.md", "Markdown", 0, 0, 412, 0, 0, 0, 0, 0, 0, 0, 0, 182, 594
"c:\Users\HP\Downloads\Main_Dashboard\PURCHASE_ORDERS_COMPLETE.md", "Markdown", 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 62, 327
"c:\Users\HP\Downloads\Main_Dashboard\PURCHASE_ORDERS_ENHANCEMENTS_GUIDE.md", "Markdown", 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 71, 329
"c:\Users\HP\Downloads\Main_Dashboard\PURCHASE_ORDERS_SETUP.md", "Markdown", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 51, 197
"c:\Users\HP\Downloads\Main_Dashboard\QUICK_START.md", "Markdown", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 26, 117
"c:\Users\HP\Downloads\Main_Dashboard\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\HP\Downloads\Main_Dashboard\REDIS_SETUP.md", "Markdown", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 54, 188
"c:\Users\HP\Downloads\Main_Dashboard\SETTINGS_SETUP.md", "Markdown", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 38, 210
"c:\Users\HP\Downloads\Main_Dashboard\SETUP_ADMIN_USER.md", "Markdown", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 33, 153
"c:\Users\HP\Downloads\Main_Dashboard\WORKFLOW_REDESIGN_SUMMARY.md", "Markdown", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 29, 146
"c:\Users\HP\Downloads\Main_Dashboard\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 3, 8
"c:\Users\HP\Downloads\Main_Dashboard\app\admin\roles\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 1, 19, 224
"c:\Users\HP\Downloads\Main_Dashboard\app\admin\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 359, 0, 9, 26, 394
"c:\Users\HP\Downloads\Main_Dashboard\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 772, 0, 7, 38, 817
"c:\Users\HP\Downloads\Main_Dashboard\app\api\admin\settings\route.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 14, 95
"c:\Users\HP\Downloads\Main_Dashboard\app\api\admin\users\route.ts", "TypeScript", 0, 0, 0, 305, 0, 0, 0, 0, 0, 0, 13, 63, 381
"c:\Users\HP\Downloads\Main_Dashboard\app\api\auth\login\route.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\HP\Downloads\Main_Dashboard\app\api\auth\logout\route.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 6, 17
"c:\Users\HP\Downloads\Main_Dashboard\app\api\auth\user\route.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 444, 0, 0, 0, 0, 0, 0, 0, 27, 471
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 430, 0, 0, 0, 0, 0, 0, 0, 30, 460
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 1302, 0, 0, 0, 0, 0, 0, 0, 131, 1433
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\route.ts", "TypeScript", 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 35, 326
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\rows\route.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 591, 0, 0, 0, 0, 0, 0, 0, 19, 610
"c:\Users\HP\Downloads\Main_Dashboard\app\api\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\HP\Downloads\Main_Dashboard\app\api\business-excellence\route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\HP\Downloads\Main_Dashboard\app\api\health\route.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 5, 40
"c:\Users\HP\Downloads\Main_Dashboard\app\api\notifications\route.ts", "TypeScript", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 17, 119
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\approve\route.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 7, 17, 98
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\bulk-approve\route.ts", "TypeScript", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 27, 196
