"filename", "language", "JavaScript", "MS SQL", "Markdown", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\PROJECT_CONTEXT.md", "Markdown", 0, 0, 25, 0, 0, 0, 0, 2, 27
"c:\Users\HP\Downloads\Main_Dashboard\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 355, 0, 0, 38, 393
"c:\Users\HP\Downloads\Main_Dashboard\app\api\admin\users\route.ts", "TypeScript", 0, 0, 0, 74, 0, 0, -4, 17, 87
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 3, 4, 13
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\demo-cars-list\route.ts", "TypeScript", 0, 0, 0, 485, 0, 0, 0, 30, 515
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\demo-job-cards\route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\[id]\preview\route.ts", "TypeScript", 0, 0, 0, -17, 0, 0, 0, -1, -18
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\[id]\route.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\analytics\route.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\options\route.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\route.ts", "TypeScript", 0, 0, 0, -7, 0, 0, 0, 0, -7
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\demo-cars-list\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\proforma\[section]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\proforma\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\HP\Downloads\Main_Dashboard\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 52, 0, 8, 60
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\business-excellence-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 68, 0, 0, 9, 77
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 479, 0, 0, 17, 496
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\demo-cars-list-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 524, 0, 0, 36, 560
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\demo-job-cards-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\kia-complaints-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 197, 0, 0, 7, 204
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\kia-proforma-page.tsx", "TypeScript JSX", 0, 0, 0, 0, -4, 0, 0, 1, -3
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\open-ro-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 212, 0, 0, 10, 222
