"filename", "language", "Markdown", "MS SQL", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\PROJECT_CONTEXT.md", "Markdown", 6, 0, 0, 0, 0, 0, 6
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\ai-summary\route.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 7
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 4
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\freshness\route.ts", "TypeScript", 0, 0, 0, 119, 0, 10, 129
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 25, 0, 2, 27
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 44, 0, 5, 49
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, -28, -3, -3, -34
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\route.ts", "TypeScript", 0, 0, 0, 10, 0, 1, 11
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 22, 0, 3, 25
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\demo-job-cards\route.ts", "TypeScript", 0, 0, 0, 24, 0, 2, 26
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\service-appointment\route.ts", "TypeScript", 0, 0, 0, 344, 0, 18, 362
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\[report]\page.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 2, 7
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\service-appointment\page.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 7, 29
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\sidebar.tsx", "TypeScript JSX", 0, 0, -27, 0, 29, 0, 2
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\business-excellence-overview.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 3
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 1046, 0, 0, 62, 1108
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\demo-job-cards-page.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 3, 41
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\kia-complaints-section.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 3
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\open-ro-section.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 4
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\service-appointment-page.tsx", "TypeScript JSX", 0, 0, 552, 0, 0, 40, 592
"c:\Users\HP\Downloads\Main_Dashboard\lib\branch-module-access.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 2
"c:\Users\HP\Downloads\Main_Dashboard\lib\kia\dealer-branch.ts", "TypeScript", 0, 0, 0, 20, 0, 6, 26
"c:\Users\HP\Downloads\Main_Dashboard\lib\permissions\registry.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 11
"c:\Users\HP\Downloads\Main_Dashboard\scripts\create-permissions-manager.sql", "MS SQL", 0, 2, 0, 0, 0, 0, 2
"Total", "-", 6, 2, 1646, 607, 26, 158, 2445
