"filename", "language", "TypeScript", "Markdown", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\PROJECT_CONTEXT.md", "Markdown", 0, 5, 0, 0, 0, 5
"c:\Users\HP\Downloads\Main_Dashboard\app\am-finance\page.tsx", "TypeScript JSX", 0, 0, 23, 0, 5, 28
"c:\Users\HP\Downloads\Main_Dashboard\app\api\am-finance\route.ts", "TypeScript", 354, 0, 0, 0, 31, 385
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\open-ro\route.ts", "TypeScript", -2, 0, 0, 0, 0, -2
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\overview\route.ts", "TypeScript", -3, 0, 0, 0, 0, -3
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 67, 0, 0, 0, 0, 67
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\service-appointment\route.ts", "TypeScript", 18, 0, 0, 0, 0, 18
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\complaints\route.ts", "TypeScript", 9, 0, 0, 0, 3, 12
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\open-ro\route.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\overview\route.ts", "TypeScript", -169, 0, 0, 0, -13, -182
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\workshop-performance\route.ts", "TypeScript", 2, 0, 0, 0, -3, -1
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\sidebar.tsx", "TypeScript JSX", 0, 0, 31, 0, 1, 32
"c:\Users\HP\Downloads\Main_Dashboard\features\am-finance\am-finance-page.tsx", "TypeScript JSX", 0, 0, 780, 0, 58, 838
"c:\Users\HP\Downloads\Main_Dashboard\features\business-excellence\executive-table-shell.tsx", "TypeScript JSX", 0, 0, 81, 0, 6, 87
"c:\Users\HP\Downloads\Main_Dashboard\features\hyundai\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 24, 0, 1, 25
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 128, 0, 9, 137
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\service-appointment-page.tsx", "TypeScript JSX", 0, 0, 55, 0, 3, 58
"c:\Users\HP\Downloads\Main_Dashboard\features\platinum\business-excellence-overview.tsx", "TypeScript JSX", 0, 0, 60, 0, 3, 63
"c:\Users\HP\Downloads\Main_Dashboard\features\platinum\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 49, 0, 3, 52
"c:\Users\HP\Downloads\Main_Dashboard\lib\am-finance\access.ts", "TypeScript", 5, 0, 0, 0, 3, 8
"c:\Users\HP\Downloads\Main_Dashboard\lib\business-excellence\comparison.ts", "TypeScript", 41, 0, 0, 0, 9, 50
"c:\Users\HP\Downloads\Main_Dashboard\lib\db\schema.ts", "TypeScript", 45, 0, 0, 0, 1, 46
"c:\Users\HP\Downloads\Main_Dashboard\lib\permissions\registry.ts", "TypeScript", 10, 0, 0, 0, 0, 10
"c:\Users\HP\Downloads\Main_Dashboard\lib\platinum\business-excellence-vas.ts", "TypeScript", 228, 0, 0, 0, 30, 258
"Total", "-", 606, 5, 1231, 0, 150, 1992
