"filename", "language", "Log", "JSON", "JavaScript", "MS SQL", "Markdown", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\PROJECT_CONTEXT.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\app\am-finance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\app\api\am-finance\analytics\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 805, 0, 88, 893
"c:\Users\HP\Downloads\Main_Dashboard\app\api\am-finance\audit\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 89, 0, 9, 98
"c:\Users\HP\Downloads\Main_Dashboard\app\api\am-finance\duplicates\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 51, 0, 10, 61
"c:\Users\HP\Downloads\Main_Dashboard\app\api\am-finance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 332, 0, 46, 378
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\service-dashboard-export\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 36, 0, 6, 42
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 175, 0, 11, 186
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
