"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\page.tsx", "TypeScript JSX", 9, 0, 0, 0, 2, 11
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\permissions\page.tsx", "TypeScript JSX", 10, 0, 0, 0, 2, 12
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\roles\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\settings\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\users\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\am-finance\page.tsx", "TypeScript JSX", 24, 0, 0, 0, 5, 29
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\audit\route.ts", "TypeScript", 0, 0, 54, 0, 7, 61
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\overview\route.ts", "TypeScript", 0, 0, 61, 0, 6, 67
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\permissions\route.ts", "TypeScript", 0, 0, 188, 0, 17, 205
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\settings\route.ts", "TypeScript", 0, 0, 89, 0, 15, 104
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\users\route.ts", "TypeScript", 0, 0, 433, 0, 45, 478
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\analytics\route.ts", "TypeScript", 0, 0, 868, 0, 93, 961
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\audit\route.ts", "TypeScript", 0, 0, 89, 0, 9, 98
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\duplicates\route.ts", "TypeScript", 0, 0, 51, 0, 10, 61
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\route.ts", "TypeScript", 0, 0, 702, 0, 77, 779
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\login\route.ts", "TypeScript", 0, 0, 48, 0, 7, 55
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\logout\route.ts", "TypeScript", 0, 0, 10, 1, 6, 17
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\permissions\route.ts", "TypeScript", 0, 0, 33, 0, 6, 39
