"filename", "language", "Markdown", "JSON with Comments", "PowerShell", "TypeScript", "log", "JavaScript", "MS SQL", "XML", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\AGENTS.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\BRAND_ACCESS_SETUP.md", "Markdown", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 150
"c:\Users\sahil\Downloads\am_group_main_dashboard\CLAUDE.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_CONTEXT.md", "Markdown", 604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 749
"c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_DEEP_ANALYSIS.md", "Markdown", 436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 625
"c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_KT_HANDOVER.md", "Markdown", 456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 655
"c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_COMPLETE.md", "Markdown", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 327
"c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_ENHANCEMENTS_GUIDE.md", "Markdown", 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 329
"c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_SETUP.md", "Markdown", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 197
"c:\Users\sahil\Downloads\am_group_main_dashboard\QUICK_START.md", "Markdown", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 117
"c:\Users\sahil\Downloads\am_group_main_dashboard\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\sahil\Downloads\am_group_main_dashboard\REDIS_SETUP.md", "Markdown", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 188
"c:\Users\sahil\Downloads\am_group_main_dashboard\SETTINGS_SETUP.md", "Markdown", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 210
"c:\Users\sahil\Downloads\am_group_main_dashboard\SETUP_ADMIN_USER.md", "Markdown", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 153
"c:\Users\sahil\Downloads\am_group_main_dashboard\WORKFLOW_REDESIGN_SUMMARY.md", "Markdown", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 146
"c:\Users\sahil\Downloads\am_group_main_dashboard\components.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\activity-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 5, 55
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\integration-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 4, 69
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\kpi-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 7, 62
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\sales-distribution.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 4, 70
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\sales-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 4, 99
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\subscriber-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 4, 68
