"filename", "language", "log", "Markdown", "TypeScript JSX", "JSON", "PostCSS", "TypeScript", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\.codex-dev.err.log", "log", 113, 0, 0, 0, 0, 0, 0, 0, 0, 1, 114
"c:\Users\sahil\Downloads\am_group_main_dashboard\.codex-dev.log", "log", 522, 0, 0, 0, 0, 0, 0, 0, 0, 4, 526
"c:\Users\sahil\Downloads\am_group_main_dashboard\.kilo\plans\platinum-be-data-gap-analysis.md", "Markdown", 0, 342, 0, 0, 0, 0, 0, 0, 0, 88, 430
"c:\Users\sahil\Downloads\am_group_main_dashboard\.kilo\plans\report-table-mapping-analysis.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 0, 21, 111
"c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_CONTEXT.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\page.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\settings\route.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\users\route.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\freshness\route.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, -1, 2
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 37
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ro-billing-report\route.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 31
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\rows\route.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\service-dashboard-export\route.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\service-dashboard-preview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\sot\route.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, -4, 32
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\actions\route.ts", "TypeScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 41
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\evidence\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\route.ts", "TypeScript", 0, 0, 0, 0, 0, 338, 0, 0, 2, 52, 392
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\ai-summary\route.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 18
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 0, 0, -7, 0, 0, 0, -1, -8
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 0, 0, -308, 0, 0, 0, -20, -328
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 27
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\rows\route.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 0, 0, -130, 0, 0, 0, -7, -137
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\[id]\preview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 12, 106
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\analytics\route.ts", "TypeScript", 0, 0, 0, 0, 0, 141, 0, 0, 0, 11, 152
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\options\route.ts", "TypeScript", 0, 0, 0, 0, 0, 78, 0, 0, 0, 7, 85
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\route.ts", "TypeScript", 0, 0, 0, 0, 0, 195, 0, 0, 0, 20, 215
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\settings\route.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\freshness\route.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, -4, 45
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 116, 0, 0, 0, -9, 107
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 133, 0, 0, 0, 4, 137
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\rows\route.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\service-dashboard-export\route.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\service-dashboard-preview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 35
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\sot\route.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 3, 47
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 157, 0, 0, 0, 9, 166
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\actions\route.ts", "TypeScript", 0, 0, 0, 0, 0, 195, 0, 0, 0, 13, 208
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\dealer-mappings\route.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\evidence\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 35
