Date : 2026-06-20 14:16:59
Directory : c:\Users\sahil\Downloads\am_group_main_dashboard
Total : 325 files,  33679 codes, 346 comments, 2629 blanks, all 36654 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |        119 |      9,353 |        159 |      1,029 |     10,541 |
| TypeScript     |        136 |      9,245 |         64 |        956 |     10,265 |
| JSON           |          7 |      9,107 |          0 |          4 |      9,111 |
| TypeScript JSX |         22 |      2,423 |         12 |        146 |      2,581 |
| log            |          7 |      1,198 |          0 |         17 |      1,215 |
| MS SQL         |         22 |      1,164 |        111 |        151 |      1,426 |
| Markdown       |         11 |      1,099 |          0 |        309 |      1,408 |
| PostCSS        |          1 |         90 |          0 |         17 |        107 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        325 |     33,679 |        346 |      2,629 |     36,654 |
| . (Files)                                                                                                                       |          5 |      1,423 |          0 |         13 |      1,436 |
| .kilo                                                                                                                           |          2 |        432 |          0 |        109 |        541 |
| .kilo\plans                                                                                                                     |          2 |        432 |          0 |        109 |        541 |
| app                                                                                                                             |         61 |      2,609 |         15 |        244 |      2,868 |
| app (Files)                                                                                                                     |          3 |        102 |          0 |         21 |        123 |
| app\admin                                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| app\api                                                                                                                         |         49 |      2,321 |          5 |        192 |      2,518 |
| app\api\admin                                                                                                                   |          2 |         13 |          0 |          1 |         14 |
| app\api\admin\settings                                                                                                          |          1 |          8 |          0 |          1 |          9 |
| app\api\admin\users                                                                                                             |          1 |          5 |          0 |          0 |          5 |
| app\api\brands                                                                                                                  |         45 |      2,295 |          5 |        190 |      2,490 |
| app\api\brands\hyundai                                                                                                          |         16 |        633 |          2 |         58 |        693 |
| app\api\brands\hyundai\business-excellence                                                                                      |         13 |        250 |          0 |          6 |        256 |
| app\api\brands\hyundai\business-excellence (Files)                                                                              |          1 |          3 |          0 |          0 |          3 |
| app\api\brands\hyundai\business-excellence\complaints                                                                           |          1 |         16 |          0 |          1 |         17 |
| app\api\brands\hyundai\business-excellence\freshness                                                                            |          1 |         14 |          0 |          0 |         14 |
| app\api\brands\hyundai\business-excellence\open-ro                                                                              |          1 |          3 |          0 |         -1 |          2 |
| app\api\brands\hyundai\business-excellence\overview                                                                             |          1 |         37 |          0 |          0 |         37 |
| app\api\brands\hyundai\business-excellence\performance-intelligence                                                             |          1 |          5 |          0 |          0 |          5 |
| app\api\brands\hyundai\business-excellence\ro-billing-analysis                                                                  |          1 |         15 |          0 |          0 |         15 |
| app\api\brands\hyundai\business-excellence\ro-billing-report                                                                    |          1 |         31 |          0 |          0 |         31 |
| app\api\brands\hyundai\business-excellence\rows                                                                                 |          1 |          3 |          0 |          0 |          3 |
| app\api\brands\hyundai\business-excellence\service-dashboard-export                                                             |          1 |         32 |          0 |          3 |         35 |
| app\api\brands\hyundai\business-excellence\service-dashboard-preview                                                            |          1 |         26 |          0 |          3 |         29 |
| app\api\brands\hyundai\business-excellence\sot                                                                                  |          1 |         29 |          0 |          4 |         33 |
| app\api\brands\hyundai\business-excellence\workshop-performance                                                                 |          1 |         36 |          0 |         -4 |         32 |
| app\api\brands\hyundai\warranty-claims                                                                                          |          3 |        383 |          2 |         52 |        437 |
| app\api\brands\hyundai\warranty-claims (Files)                                                                                  |          1 |        338 |          2 |         52 |        392 |
| app\api\brands\hyundai\warranty-claims\actions                                                                                  |          1 |         41 |          0 |          0 |         41 |
| app\api\brands\hyundai\warranty-claims\evidence                                                                                 |          1 |          4 |          0 |          0 |          4 |
| app\api\brands\hyundai\warranty-claims\evidence\[id]                                                                            |          1 |          4 |          0 |          0 |          4 |
| app\api\brands\kia                                                                                                              |          9 |       -363 |          0 |        -26 |       -389 |
| app\api\brands\kia\business-excellence                                                                                          |          9 |       -363 |          0 |        -26 |       -389 |
| app\api\brands\kia\business-excellence (Files)                                                                                  |          1 |         21 |          0 |          2 |         23 |
| app\api\brands\kia\business-excellence\ai-summary                                                                               |          1 |          1 |          0 |          0 |          1 |
| app\api\brands\kia\business-excellence\complaints                                                                               |          1 |         18 |          0 |          0 |         18 |
| app\api\brands\kia\business-excellence\open-ro                                                                                  |          1 |         -7 |          0 |         -1 |         -8 |
| app\api\brands\kia\business-excellence\overview                                                                                 |          1 |       -308 |          0 |        -20 |       -328 |
| app\api\brands\kia\business-excellence\performance-intelligence                                                                 |          1 |         14 |          0 |          0 |         14 |
| app\api\brands\kia\business-excellence\ro-billing-analysis                                                                      |          1 |         27 |          0 |          0 |         27 |
| app\api\brands\kia\business-excellence\rows                                                                                     |          1 |          1 |          0 |          0 |          1 |
| app\api\brands\kia\business-excellence\workshop-performance                                                                     |          1 |       -130 |          0 |         -7 |       -137 |
| app\api\brands\mg                                                                                                               |          6 |        571 |          0 |         61 |        632 |
| app\api\brands\mg\proforma                                                                                                      |          6 |        571 |          0 |         61 |        632 |
| app\api\brands\mg\proforma (Files)                                                                                              |          1 |        195 |          0 |         20 |        215 |
| app\api\brands\mg\proforma\[id]                                                                                                 |          2 |        130 |          0 |         17 |        147 |
| app\api\brands\mg\proforma\[id] (Files)                                                                                         |          1 |         94 |          0 |         12 |        106 |
| app\api\brands\mg\proforma\[id]\preview                                                                                         |          1 |         36 |          0 |          5 |         41 |
| app\api\brands\mg\proforma\analytics                                                                                            |          1 |        141 |          0 |         11 |        152 |
| app\api\brands\mg\proforma\options                                                                                              |          1 |         78 |          0 |          7 |         85 |
| app\api\brands\mg\proforma\settings                                                                                             |          1 |         27 |          0 |          6 |         33 |
| app\api\brands\platinum                                                                                                         |         14 |      1,454 |          3 |         97 |      1,554 |
| app\api\brands\platinum\business-excellence                                                                                     |         10 |        573 |          0 |         13 |        586 |
| app\api\brands\platinum\business-excellence (Files)                                                                             |          1 |          3 |          0 |          0 |          3 |
| app\api\brands\platinum\business-excellence\freshness                                                                           |          1 |         49 |          0 |         -4 |         45 |
| app\api\brands\platinum\business-excellence\open-ro                                                                             |          1 |          2 |          0 |          0 |          2 |
| app\api\brands\platinum\business-excellence\overview                                                                            |          1 |        116 |          0 |         -9 |        107 |
| app\api\brands\platinum\business-excellence\ro-billing-analysis                                                                 |          1 |        133 |          0 |          4 |        137 |
| app\api\brands\platinum\business-excellence\rows                                                                                |          1 |          3 |          0 |          0 |          3 |
| app\api\brands\platinum\business-excellence\service-dashboard-export                                                            |          1 |         36 |          0 |          5 |         41 |
| app\api\brands\platinum\business-excellence\service-dashboard-preview                                                           |          1 |         30 |          0 |          5 |         35 |
| app\api\brands\platinum\business-excellence\sot                                                                                 |          1 |         44 |          0 |          3 |         47 |
| app\api\brands\platinum\business-excellence\workshop-performance                                                                |          1 |        157 |          0 |          9 |        166 |
| app\api\brands\platinum\warranty-claims                                                                                         |          4 |        881 |          3 |         84 |        968 |
| app\api\brands\platinum\warranty-claims (Files)                                                                                 |          1 |        618 |          3 |         66 |        687 |
| app\api\brands\platinum\warranty-claims\actions                                                                                 |          1 |        195 |          0 |         13 |        208 |
| app\api\brands\platinum\warranty-claims\dealer-mappings                                                                         |          1 |         35 |          0 |          3 |         38 |
| app\api\brands\platinum\warranty-claims\evidence                                                                                |          1 |         33 |          0 |          2 |         35 |
| app\api\brands\platinum\warranty-claims\evidence\[id]                                                                           |          1 |         33 |          0 |          2 |         35 |
| app\api\purchase-orders                                                                                                         |          2 |         13 |          0 |          1 |         14 |
| app\api\purchase-orders\bulk-approve                                                                                            |          1 |          3 |          0 |          0 |          3 |
| app\api\purchase-orders\workflow                                                                                                |          1 |         10 |          0 |          1 |         11 |
| app\brands                                                                                                                      |          7 |        173 |         10 |         30 |        213 |
| app\brands\hyundai                                                                                                              |          2 |          3 |         10 |          0 |         13 |
| app\brands\hyundai (Files)                                                                                                      |          1 |         -4 |          5 |          0 |          1 |
| app\brands\hyundai\[...module]                                                                                                  |          1 |          7 |          5 |          0 |         12 |
| app\brands\mg                                                                                                                   |          4 |        147 |          0 |         29 |        176 |
| app\brands\mg (Files)                                                                                                           |          1 |         27 |          0 |          7 |         34 |
| app\brands\mg\[...module]                                                                                                       |          1 |         74 |          0 |         12 |         86 |
| app\brands\mg\proforma                                                                                                          |          2 |         46 |          0 |         10 |         56 |
| app\brands\mg\proforma (Files)                                                                                                  |          1 |         16 |          0 |          4 |         20 |
| app\brands\mg\proforma\[section]                                                                                                |          1 |         30 |          0 |          6 |         36 |
