Date : 2026-06-20 14:16:59
Directory : c:\Users\sahil\Downloads\am_group_main_dashboard
Total : 566 files,  153820 codes, 1000 comments, 12487 blanks, all 167307 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        110 |     62,292 |        232 |      4,494 |     67,018 |
| TypeScript         |        220 |     47,166 |        230 |      4,458 |     51,854 |
| JSON               |          8 |     20,372 |          0 |          7 |     20,379 |
| JavaScript         |        135 |     11,246 |        163 |      1,261 |     12,670 |
| Markdown           |         26 |      5,253 |          2 |      1,401 |      6,656 |
| MS SQL             |         45 |      3,944 |        368 |        589 |      4,901 |
| log                |         14 |      1,880 |          0 |         37 |      1,917 |
| PostCSS            |          1 |      1,598 |          0 |        232 |      1,830 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| PowerShell         |          1 |         30 |          5 |          7 |         42 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        566 |    153,820 |      1,000 |     12,487 |    167,307 |
| . (Files)                                                                                                                       |         35 |     16,625 |         26 |      1,009 |     17,660 |
| .kilo                                                                                                                           |          2 |        432 |          0 |        109 |        541 |
| .kilo\plans                                                                                                                     |          2 |        432 |          0 |        109 |        541 |
| app                                                                                                                             |        124 |     36,554 |         65 |      3,363 |     39,982 |
| app (Files)                                                                                                                     |          5 |      1,715 |          1 |        248 |      1,964 |
| app\admin                                                                                                                       |          5 |         37 |          0 |         11 |         48 |
| app\admin (Files)                                                                                                               |          1 |         15 |          0 |          3 |         18 |
| app\admin\permissions                                                                                                           |          1 |         10 |          0 |          2 |         12 |
| app\admin\roles                                                                                                                 |          1 |          4 |          0 |          2 |          6 |
| app\admin\settings                                                                                                              |          1 |          4 |          0 |          2 |          6 |
| app\admin\users                                                                                                                 |          1 |          4 |          0 |          2 |          6 |
