"filename", "language", "log", "JavaScript", "PowerShell", "JSON with Comments", "Markdown", "TypeScript", "JSON", "TypeScript JSX", "MS SQL", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\.codex-dev.err.log", "log", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 114
"c:\Users\sahil\Downloads\am_group_main_dashboard\.codex-dev.log", "log", 522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 526
"c:\Users\sahil\Downloads\am_group_main_dashboard\.kilo\plans\platinum-be-data-gap-analysis.md", "Markdown", 0, 0, 0, 0, 342, 0, 0, 0, 0, 0, 0, 0, 88, 430
"c:\Users\sahil\Downloads\am_group_main_dashboard\.kilo\plans\report-table-mapping-analysis.md", "Markdown", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 21, 111
"c:\Users\sahil\Downloads\am_group_main_dashboard\AGENTS.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\BRAND_ACCESS_SETUP.md", "Markdown", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 34, 150
"c:\Users\sahil\Downloads\am_group_main_dashboard\CLAUDE.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_CONTEXT.md", "Markdown", 0, 0, 0, 0, 647, 0, 0, 0, 0, 0, 0, 0, 153, 800
"c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_DEEP_ANALYSIS.md", "Markdown", 0, 0, 0, 0, 436, 0, 0, 0, 0, 0, 0, 0, 189, 625
"c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_KT_HANDOVER.md", "Markdown", 0, 0, 0, 0, 456, 0, 0, 0, 0, 0, 0, 0, 199, 655
"c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_COMPLETE.md", "Markdown", 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 62, 327
"c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_ENHANCEMENTS_GUIDE.md", "Markdown", 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 71, 329
"c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_SETUP.md", "Markdown", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 51, 197
"c:\Users\sahil\Downloads\am_group_main_dashboard\QUICK_START.md", "Markdown", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 26, 117
"c:\Users\sahil\Downloads\am_group_main_dashboard\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\sahil\Downloads\am_group_main_dashboard\REDIS_SETUP.md", "Markdown", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 54, 188
"c:\Users\sahil\Downloads\am_group_main_dashboard\SETTINGS_SETUP.md", "Markdown", 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 38, 210
"c:\Users\sahil\Downloads\am_group_main_dashboard\SETUP_ADMIN_USER.md", "Markdown", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 33, 153
"c:\Users\sahil\Downloads\am_group_main_dashboard\WORKFLOW_REDESIGN_SUMMARY.md", "Markdown", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 29, 146
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\permissions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\roles\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\am-finance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\activity\route.ts", "TypeScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\activity-logs\route.ts", "TypeScript", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 9, 88
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\audit\route.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\overview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\permissions\route.ts", "TypeScript", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 17, 205
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\settings\route.ts", "TypeScript", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 16, 113
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\users\route.ts", "TypeScript", 0, 0, 0, 0, 0, 438, 0, 0, 0, 0, 0, 0, 45, 483
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\analytics\route.ts", "TypeScript", 0, 0, 0, 0, 0, 868, 0, 0, 0, 0, 0, 0, 93, 961
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\audit\route.ts", "TypeScript", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 9, 98
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\duplicates\route.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 10, 61
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 702, 0, 0, 0, 0, 0, 0, 77, 779
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\login\route.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\logout\route.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 6, 17
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\permissions\route.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\user\route.ts", "TypeScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ai-summary\route.ts", "TypeScript", 0, 0, 0, 0, 0, 445, 0, 0, 0, 0, 0, 0, 65, 510
