"filename", "language", "TypeScript", "Markdown", "JSON", "JavaScript", "PowerShell", "JSON with Comments", "TypeScript JSX", "MS SQL", "Log", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\.agents\AGENTS.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\sahil\Downloads\am_group_main_dashboard\.claude\launch.json", "JSON with Comments", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\sahil\Downloads\am_group_main_dashboard\.claude\settings.local.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\sahil\Downloads\am_group_main_dashboard\.kilo\plans\platinum-be-data-gap-analysis.md", "Markdown", 0, 342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 430
"c:\Users\sahil\Downloads\am_group_main_dashboard\.kilo\plans\report-table-mapping-analysis.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 111
"c:\Users\sahil\Downloads\am_group_main_dashboard\AGENTS.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\BRAND_ACCESS_SETUP.md", "Markdown", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 150
"c:\Users\sahil\Downloads\am_group_main_dashboard\CLAUDE.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\sahil\Downloads\am_group_main_dashboard\PERMISSIONS_REDESIGN_PLAN.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 59
"c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_CONTEXT.md", "Markdown", 0, 649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 802
"c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_DEEP_ANALYSIS.md", "Markdown", 0, 436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 625
"c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_KT_HANDOVER.md", "Markdown", 0, 456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 655
"c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_COMPLETE.md", "Markdown", 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 327
"c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_ENHANCEMENTS_GUIDE.md", "Markdown", 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 329
"c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_SETUP.md", "Markdown", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 197
"c:\Users\sahil\Downloads\am_group_main_dashboard\QUICK_START.md", "Markdown", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 117
"c:\Users\sahil\Downloads\am_group_main_dashboard\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\sahil\Downloads\am_group_main_dashboard\REDIS_SETUP.md", "Markdown", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 188
"c:\Users\sahil\Downloads\am_group_main_dashboard\SETTINGS_SETUP.md", "Markdown", 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 210
"c:\Users\sahil\Downloads\am_group_main_dashboard\SETUP_ADMIN_USER.md", "Markdown", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 153
"c:\Users\sahil\Downloads\am_group_main_dashboard\WORKFLOW_REDESIGN_SUMMARY.md", "Markdown", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 146
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\permissions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\roles\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\am-finance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 5, 31
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\access-matrix\route.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 146
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\activity-logs\route.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 88
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\audit\route.ts", "TypeScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 112
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\data-freshness\route.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 121
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\email-logs\route.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 62
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\overview\route.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\permissions\route.ts", "TypeScript", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 207
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\reset-test-data\route.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 88
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\roles\route.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 98
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\settings\route.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 113
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\users\route.ts", "TypeScript", 493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48, 552
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\analytics\route.ts", "TypeScript", 868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 961
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\audit\route.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 98
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\duplicates\route.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\route.ts", "TypeScript", 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 77, 782
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\login\route.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 96
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\logout\route.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 37
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\permissions\route.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\user\route.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 56
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ai-summary\route.ts", "TypeScript", 445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 510
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\complaints\route.ts", "TypeScript", 752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 780
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\freshness\route.ts", "TypeScript", 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 253
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\open-ro\route.ts", "TypeScript", 529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 558
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\overview\route.ts", "TypeScript", 1371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 1430
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\performance-intelligence\route.ts", "TypeScript", 445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 475
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 1593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 144, 1742
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ro-billing-report\route.ts", "TypeScript", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 335
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\route.ts", "TypeScript", 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 349
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\rows\route.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\service-dashboard-export\route.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
